room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Entire home/apt,5,False,0,1,10,94,3,0.88891041,0.40032592,2.17614,41.39368,Barcelona,weekend,962.98089211,513.7394788,977.7879909
Private room,2,True,0,0,10,99,1,1.0136397,0.38250828,2.18209,41.38635,Barcelona,weekend,1182.4888867,641.592407,1422.107433
Entire home/apt,5,False,0,1,10,93,2,2.5723181,0.60902542,2.175,41.41,Barcelona,weekend,653.766844308,446.9743702,586.8208867
Entire home/apt,3,True,0,1,10,96,1,0.43716106,0.15089847,2.169,41.391,Barcelona,weekend,464.670561096,621.4794988,1429.980164
Entire home/apt,3,True,0,1,10,97,1,0.43715376,0.15088756,2.169,41.391,Barcelona,weekend,464.670561096,621.4817351,1429.974837
Entire home/apt,3,False,0,1,10,95,1,1.2809844,0.72970641,2.17525,41.39798,Barcelona,weekend,388.386436074,568.8018558,866.2901429
Entire home/apt,6,False,0,1,10,100,3,0.77773786,0.10372034,2.17879,41.38482,Barcelona,weekend,472.995554753,796.8816263999998,1694.15816
Private room,4,False,0,1,9,88,1,0.46470788,0.25014767,2.17292,41.38357,Barcelona,weekend,435.108338965,819.0022171,1614.874077
Entire home/apt,6,False,0,0,9,95,3,2.8039238,1.092279,2.20162,41.39558,Barcelona,weekend,718.1581213320001,245.5483228,516.633272
Entire home/apt,4,False,0,1,9,88,1,0.095828436,0.11720119,2.17,41.388,Barcelona,weekend,391.954290488,608.0997296,1362.221156
Entire home/apt,2,False,0,1,10,95,1,1.2865044,0.74585134,2.17578,41.39788,Barcelona,weekend,388.386436074,559.9446717,859.0904124
Entire home/apt,6,False,1,0,9,92,2,1.9364645,0.47077647,2.17973,41.40297,Barcelona,weekend,456.175669721,609.7085448,657.4909063
Entire home/apt,6,False,0,1,9,92,2,1.3434845,0.55408937,2.17979,41.39674,Barcelona,weekend,561.682221219,480.4064752,813.2108061
Entire home/apt,4,False,0,1,8,87,1,1.1716452,0.19695486,2.16173,41.39565,Barcelona,weekend,518.698070606,1210.085672,1171.112907
Entire home/apt,6,False,0,1,9,93,2,1.8825011,0.41643173,2.14876,41.38154,Barcelona,weekend,485.737891852,312.0009912,722.4889257
Entire home/apt,6,False,0,1,9,92,2,1.9109778,0.39287436,2.14976,41.37916,Barcelona,weekend,485.737891852,323.164196,737.9865612999998
Entire home/apt,4,False,1,0,10,98,1,0.74267823,0.2806536,2.16113,41.38707,Barcelona,weekend,472.995554753,476.4375103,1770.690923
Private room,4,False,1,0,9,93,1,0.66512614,0.32022133,2.177,41.39,Barcelona,weekend,494.2327833,577.9436404,1153.328566
